date,close,high,low,open,volume
2021-03-15,246000.0,249600.0,236400.0,241200.0,17
2021-03-16,234000.0,249600.0,225600.0,249600.0,36
2021-03-17,237600.0,244800.0,226800.0,229200.0,16
2021-03-18,225600.0,238800.0,224400.0,237600.0,13
2021-03-19,220800.0,234000.0,220800.0,228000.0,19
2021-03-22,223200.0,229200.0,220800.0,226800.0,17
2021-03-23,217200.0,244800.0,213600.0,224400.0,80
2021-03-24,210000.0,223200.0,207600.0,219600.0,21
2021-03-25,210000.0,217200.0,196800.0,204000.0,38
2021-03-26,200400.0,210000.0,195600.0,207600.0,24
2021-03-29,201600.0,204000.0,193200.0,201600.0,24
2021-03-30,207600.0,217200.0,189600.0,198000.0,107
2021-03-31,195600.0,205200.0,193200.0,201600.0,34
2021-04-01,207600.0,212400.0,193200.0,195600.0,35
2021-04-05,206400.0,217200.0,204000.0,216000.0,21
2021-04-06,207600.0,211200.0,201600.0,206400.0,10
2021-04-07,218400.0,219600.0,210000.0,211200.0,25
2021-04-08,217200.0,222000.0,207600.0,216000.0,19
2021-04-09,207600.0,217200.0,206400.0,217200.0,10
2021-04-12,243600.0,246000.0,202800.0,212400.0,162
2021-04-13,212400.0,232800.0,212400.0,229200.0,55
2021-04-14,208800.0,216000.0,206400.0,210000.0,19
2021-04-15,202800.0,211200.0,199200.0,206400.0,20
2021-04-16,199200.0,206400.0,198000.0,205200.0,16
2021-04-19,216000.0,226800.0,200400.0,201600.0,106
2021-04-20,232800.0,232800.0,210000.0,216000.0,203
2021-04-21,205200.0,208800.0,195600.0,199200.0,57
2021-04-22,204000.0,212400.0,201600.0,207600.0,28
2021-04-23,207600.0,212400.0,202800.0,205200.0,42
2021-04-26,217200.0,219600.0,204000.0,205200.0,37
2021-04-27,210000.0,223200.0,207600.0,219600.0,27
2021-04-28,222000.0,223200.0,210000.0,210000.0,26
2021-04-29,220800.0,224400.0,210000.0,217200.0,20
2021-04-30,216000.0,220800.0,213600.0,214800.0,16
2021-05-03,231600.0,252000.0,212400.0,218400.0,201
2021-05-04,223200.0,234000.0,214800.0,222000.0,35
2021-05-05,217200.0,228000.0,214800.0,226800.0,30
2021-05-06,204000.0,216000.0,202800.0,214800.0,18
2021-05-07,205200.0,211200.0,202800.0,208800.0,10
2021-05-10,204000.0,232800.0,200400.0,201600.0,80
2021-05-11,204000.0,204000.0,193200.0,195600.0,22
2021-05-12,193200.0,202800.0,193200.0,199200.0,16
2021-05-13,193200.0,198000.0,187200.0,196800.0,13
2021-05-14,200400.0,204000.0,192000.0,192000.0,10
2021-05-17,204000.0,205200.0,196800.0,198000.0,11
2021-05-18,204000.0,208800.0,196800.0,199200.0,12
2021-05-19,200400.0,201600.0,194400.0,195600.0,13
2021-05-20,206400.0,213600.0,195600.0,198000.0,20
2021-05-21,204000.0,207600.0,200400.0,206400.0,12
2021-05-24,198000.0,206400.0,195600.0,204000.0,8
2021-05-25,195600.0,214800.0,194400.0,198000.0,40
2021-05-26,201600.0,205200.0,194400.0,196800.0,29
2021-05-27,207600.0,217200.0,198000.0,199200.0,68
2021-05-28,208800.0,213600.0,201600.0,208800.0,18
2021-06-01,210000.0,212400.0,202800.0,208800.0,13
2021-06-02,208800.0,213600.0,204000.0,207600.0,19
2021-06-03,219600.0,222000.0,205200.0,208800.0,24
2021-06-04,217200.0,222000.0,212400.0,217200.0,10
2021-06-07,224400.0,230400.0,217200.0,217200.0,22
2021-06-08,256800.0,268800.0,231600.0,243600.0,177
2021-06-09,242400.0,265200.0,237600.0,264000.0,56
2021-06-10,236400.0,248400.0,235200.0,243600.0,17
2021-06-11,234000.0,240000.0,228000.0,237600.0,13
2021-06-14,232800.0,238800.0,231600.0,234000.0,10
2021-06-15,213600.0,235200.0,210000.0,234000.0,25
2021-06-16,218400.0,219600.0,210000.0,216000.0,11
2021-06-17,218400.0,222000.0,213600.0,219600.0,8
2021-06-18,211200.0,220800.0,211200.0,216000.0,10
2021-06-21,214800.0,216000.0,207600.0,213600.0,10
2021-06-22,216000.0,216000.0,210000.0,214800.0,8
2021-06-23,220800.0,223200.0,216000.0,216000.0,10
2021-06-24,217200.0,220800.0,213600.0,213600.0,10
2021-06-25,225600.0,228000.0,217200.0,218400.0,18
2021-06-28,218400.0,228000.0,217200.0,228000.0,10
2021-06-29,219600.0,226800.0,213600.0,219600.0,18
2021-06-30,216000.0,220800.0,214800.0,220800.0,5
2021-07-01,211200.0,218400.0,210000.0,216000.0,7
2021-07-02,208800.0,214800.0,206400.0,214800.0,7
2021-07-06,208800.0,219600.0,206400.0,210000.0,21
2021-07-07,201600.0,214800.0,198000.0,213600.0,21
2021-07-08,200400.0,205200.0,195600.0,200400.0,9
2021-07-09,210000.0,210000.0,199200.0,202800.0,12
2021-07-12,202800.0,213600.0,200400.0,204000.0,18
2021-07-13,196800.0,204000.0,195600.0,201600.0,13
2021-07-14,193200.0,196800.0,192000.0,196800.0,9
2021-07-15,192000.0,194400.0,189600.0,194400.0,10
2021-07-16,190800.0,196800.0,189600.0,196800.0,5
2021-07-19,187200.0,188400.0,180000.0,186000.0,12
2021-07-20,195600.0,195600.0,184800.0,188400.0,7
2021-07-21,198000.0,199200.0,190800.0,192000.0,7
2021-07-22,192000.0,198000.0,189600.0,198000.0,2
2021-07-23,189600.0,192000.0,187200.0,190800.0,3
