date,close,high,low,open,volume
2021-03-15,8.362695693969727,8.39788203810881,8.28059329218377,8.386153443154734,1402300
2021-03-16,8.333372116088867,8.367972332885948,8.28645662476504,8.356829861750782,1094500
2021-03-17,8.34510326385498,8.38029017275753,8.286459161386658,8.339239245102009,1240400
2021-03-18,8.245406150817871,8.380288055771073,8.233676997721,8.350965732305697,1352700
2021-03-19,8.350967407226562,8.380289736573001,8.18676314587418,8.239543226842388,1630600
2021-03-22,8.356830596923828,8.39201749815057,8.327508272447679,8.39201749815057,1095400
2021-03-23,8.34510326385498,8.415477081660079,8.321645511012264,8.362696997944727,859000
2021-03-24,8.128116607666016,8.444796460970489,8.122252590574233,8.356830052549107,1343700
2021-03-25,8.104660034179688,8.169169265014588,8.034286785404504,8.14571151542286,1418200
2021-03-26,8.380288124084473,8.380288124084473,8.145710653002878,8.145710653002878,1323600
2021-03-29,8.368561744689941,8.409612673173074,8.306984792688286,8.339239413226151,1701800
2021-03-30,8.308609962463379,8.404525134385361,8.260652662350445,8.392535523509071,1092700
2021-03-31,8.25466251373291,8.338587544615889,8.242672896923116,8.278641175656103,1225300
2021-04-01,8.392539978027344,8.431505090664619,8.284635709652711,8.35657169800366,1007000
2021-04-05,8.458479881286621,8.494448155882322,8.368560052341865,8.410522562956574,1244400
2021-04-06,8.50044059753418,8.518424443978134,8.473464542020164,8.494445791487472,1743400
2021-04-07,8.518424034118652,8.620333445224691,8.506434422602108,8.506434422602108,1639700
2021-04-08,8.42251205444336,8.548400156131272,8.377552140632602,8.524421497319114,1855100
2021-04-09,8.452485084533691,8.461476723813869,8.380548540114528,8.4285064269594,886500
2021-04-12,8.47646427154541,8.578373715525451,8.44049599708926,8.458479848469171,1383500
2021-04-13,8.452485084533691,8.548399714830854,8.40452776938511,8.482457977729336,1122500
2021-04-14,8.524420738220215,8.530414973617228,8.458479003586643,8.458479003586643,705100
2021-04-15,8.578373908996582,8.62033642039488,8.530416018074662,8.584368145127524,1616400
2021-04-16,8.596358299255371,8.644315621484983,8.548400977025759,8.590363491052576,1628900
2021-04-19,8.584368705749512,8.644315644544628,8.542406191610755,8.626331791584645,1259700
2021-04-20,8.560389518737793,8.578373942289439,8.494448347470787,8.57237913443889,1254200
2021-04-21,8.578373908996582,8.59635776078209,8.536410825901944,8.542405633729228,740800
2021-04-22,8.560389518737793,8.596357794144742,8.506437391475542,8.57237913443889,1138700
2021-04-23,8.61434268951416,8.644316160701452,8.494449376461407,8.56039055571632,1684300
2021-04-26,8.68028450012207,8.722247591514991,8.64431678943837,8.674290262805755,2093300
2021-04-27,8.632328033447266,8.686280176556995,8.620338985920943,8.686280176556995,1219500
2021-04-28,8.69826602935791,8.758212384425272,8.632324295578671,8.632324295578671,1659500
2021-04-29,8.69227123260498,8.77619681583389,8.686276425582287,8.758212394765811,1054000
2021-04-30,8.662299156188965,8.710256476656873,8.650310111920167,8.692272624405497,1203500
2021-05-03,8.710253715515137,8.734232368147882,8.656301604167417,8.710253715515137,1560400
2021-05-04,8.668293952941895,8.722246081322485,8.590363164358413,8.722246081322485,1300200
2021-05-05,8.62633228302002,8.668294799549347,8.6083478573391,8.662299990989041,1067200
2021-05-06,8.446491241455078,8.632325715946347,8.392539112829756,8.602352819329042,2154800
2021-05-07,8.512434005737305,8.547203441291783,8.41052453743729,8.416519346559989,1249200
2021-05-10,8.344579696655273,8.536408930975005,8.344579696655273,8.518425083181583,1663300
2021-05-11,8.28463363647461,8.33259095004089,8.182724202222195,8.308612293257749,1617700
2021-05-12,8.12277889251709,8.35657068334651,8.07482157277278,8.296624319514295,1541500
2021-05-13,8.338584899902344,8.374553167227429,8.134766052351361,8.14675566535846,1455500
2021-05-14,8.512434005737305,8.5244236239827,8.362567207848633,8.362567207848633,1334400
2021-05-17,8.530417442321777,8.554396677634506,8.422513741896683,8.530417442321777,1044800
2021-05-18,8.518424034118652,8.590359988129478,8.518424034118652,8.560386531034265,839800
2021-05-19,8.578373908996582,8.584368145127524,8.425509739578919,8.434501379623503,823700
2021-05-20,8.62033462524414,8.632323666705695,8.551396064675597,8.6023507772037,853500
2021-05-21,8.638320922851562,8.638320922851562,8.581371387595404,8.632326114572727,720400
2021-05-24,8.61434268951416,8.668294823312003,8.5723801728698,8.650310969278193,1620600
2021-05-25,8.536410331726074,8.638319772104941,8.518426480981658,8.638319772104941,956100
2021-05-26,8.62033462524414,8.62033462524414,8.536409048228377,8.560387702847708,723300
2021-05-27,8.62033462524414,8.638318473284583,8.590361164045923,8.62033462524414,809200
2021-05-28,8.632328033447266,8.638322843058683,8.596360319171788,8.602355128783204,1111400
2021-06-01,8.69227123260498,8.77619681583389,8.668292576210472,8.740228545393997,1157100
2021-06-02,8.722245216369629,8.758212917259002,8.608346162928584,8.698266558544614,1104900
2021-06-03,8.740229606628418,8.794181732990968,8.695269691891738,8.722245755073013,1284400
2021-06-04,8.746225357055664,8.776198827342798,8.725244099363588,8.75222016545237,1373700
2021-06-07,8.794185638427734,8.836148167924392,8.770206968472989,8.788190828014901,1567300
2021-06-08,8.800177574157715,8.827153640506824,8.782193148794041,8.800177574157715,1716100
2021-06-09,8.836145401000977,8.864320315082782,8.79418288464433,8.818161547090472,1218300
2021-06-10,8.794185638427734,8.872116458704806,8.776201778885822,8.842142978337225,1234200
2021-06-11,8.884101867675781,8.896091483588842,8.782192419200184,8.812165887286481,1055000
2021-06-14,8.878106117248535,8.920068622394806,8.863119099913257,8.890095159420504,1569500
2021-06-15,8.878106117248535,8.896089966354616,8.842137847340123,8.878106117248535,1320900
2021-06-16,8.902088165283203,8.974024160813805,8.872114690888,8.878109500106335,1992400
2021-06-17,8.794185638427734,8.896095128659551,8.75821734764732,8.866121648291973,1248900
2021-06-18,8.506440162658691,8.770206077047668,8.500445924551714,8.746227409530173,2559100
2021-06-21,8.746225357055664,8.770204018946092,8.578374723822662,8.60235338571309,1490000
2021-06-22,8.668293952941895,8.722246081322485,8.566384504155522,8.722246081322485,1421300
2021-06-23,8.722245216369629,8.758212917259002,8.659300882268777,8.692271751164284,1097600
2021-06-24,8.740229606628418,8.782192117489808,8.728240562823592,8.776197881435563,1016000
2021-06-25,8.806169509887695,8.821156527108023,8.740228349207008,8.75221796298327,1537800
2021-06-28,8.824155807495117,8.830150043962002,8.74622501646189,8.812166191168602,1521400
2021-06-29,8.769042015075684,8.909885873672808,8.762918826089393,8.848649311848819,1340000
2021-06-30,8.738423347473145,8.769041040988915,8.701681297661121,8.769041040988915,1432800
2021-07-01,8.811908721923828,8.8608977426771,8.735363303997442,8.750672153984642,1346600
2021-07-02,8.922135353088379,8.940506677216264,8.781292038746384,8.824157293720853,2095300
2021-07-06,8.903763771057129,8.965000344369235,8.84252719774502,8.940505831843442,1451200
