date,close,high,low,open,volume
2021-03-15,1904.0,1920.0,1832.0,1856.0,264
2021-03-16,1856.0,1912.0,1800.0,1888.0,294
2021-03-17,1784.0,1872.0,1760.0,1808.0,137
2021-03-18,1704.0,1840.0,1688.0,1792.0,104
2021-03-19,1720.0,1840.0,1704.0,1712.0,374
2021-03-22,1696.0,1808.0,1688.0,1768.0,177
2021-03-23,1600.0,1696.0,1600.0,1696.0,197
2021-03-24,1528.0,1624.0,1520.0,1616.0,261
2021-03-25,1632.0,1640.0,1488.0,1520.0,209
2021-03-26,1664.0,1672.0,1568.0,1640.0,228
2021-03-29,1656.0,1720.0,1608.0,1664.0,471
2021-03-30,1624.0,1720.0,1576.0,1624.0,454
2021-03-31,1624.0,1648.0,1600.0,1624.0,241
2021-04-01,1664.0,1696.0,1616.0,1624.0,95
2021-04-05,1784.0,1784.0,1672.0,1704.0,185
2021-04-06,1672.0,1752.0,1672.0,1752.0,49
2021-04-07,1656.0,1704.0,1624.0,1664.0,162
2021-04-08,1728.0,1752.0,1688.0,1688.0,215
2021-04-09,1648.0,1720.0,1640.0,1696.0,135
2021-04-12,1512.0,1640.0,1472.0,1616.0,313
2021-04-13,1504.0,1544.0,1424.0,1504.0,162
2021-04-14,1576.0,1592.0,1472.0,1488.0,54
2021-04-15,1496.0,1592.0,1488.0,1592.0,100
2021-04-16,1432.0,1464.0,1416.0,1464.0,157
2021-04-19,1480.0,1512.0,1424.0,1424.0,169
2021-04-20,1352.0,1504.0,1336.0,1496.0,333
2021-04-21,1472.0,1504.0,1360.0,1360.0,81
2021-04-22,1528.0,1600.0,1472.0,1496.0,420
2021-04-23,1536.0,1560.0,1440.0,1512.0,51
2021-04-26,1520.0,1544.0,1496.0,1528.0,49
2021-04-27,1536.0,1544.0,1496.0,1544.0,49
2021-04-28,1480.0,1528.0,1472.0,1520.0,71
2021-04-29,1448.0,1504.0,1448.0,1480.0,87
2021-04-30,1456.0,1480.0,1408.0,1472.0,145
2021-05-03,1448.0,1472.0,1424.0,1456.0,57
2021-05-04,1448.0,1472.0,1384.0,1472.0,114
2021-05-05,1384.0,1456.0,1384.0,1456.0,44
